vector_type,size,algorithm,time_ns,comparisons
random,100,MergeSort,199333,607
random,100,MsdRadixQuickSort,266125,187
random,100,MsdRadixSort,316541,0
random,100,QuickSort,584333,7974
random,100,StringMergeSort,227959,515
random,100,TernaryQuickSort,600667,1111
random,200,MergeSort,427083,1483
random,200,MsdRadixQuickSort,633375,544
random,200,MsdRadixSort,634625,0
random,200,QuickSort,1195417,16357
random,200,StringMergeSort,491084,1180
random,200,TernaryQuickSort,1426084,2628
random,300,MergeSort,745917,2533
random,300,MsdRadixQuickSort,1229834,986
random,300,MsdRadixSort,944959,0
random,300,QuickSort,1877500,24621
random,300,StringMergeSort,782959,1921
random,300,TernaryQuickSort,2043000,4166
random,400,MergeSort,922500,3662
random,400,MsdRadixQuickSort,1508583,1563
random,400,MsdRadixSort,1149667,0
random,400,QuickSort,2748250,35163
random,400,StringMergeSort,1057708,2706
random,400,TernaryQuickSort,2949542,5887
random,500,MergeSort,1231250,4861
random,500,MsdRadixQuickSort,2116000,2130
random,500,MsdRadixSort,1399875,0
random,500,QuickSort,3420625,41913
random,500,StringMergeSort,1378500,3503
random,500,TernaryQuickSort,3766875,8249
random,600,MergeSort,1473584,6148
random,600,MsdRadixQuickSort,2739500,2774
random,600,MsdRadixSort,1669250,0
random,600,QuickSort,3876208,48538
random,600,StringMergeSort,1630667,4332
random,600,TernaryQuickSort,4235250,9503
random,700,MergeSort,1705000,7433
random,700,MsdRadixQuickSort,3244000,3456
random,700,MsdRadixSort,1842417,0
random,700,QuickSort,4949250,60254
random,700,StringMergeSort,1852417,5195
random,700,TernaryQuickSort,4523958,10935
random,800,MergeSort,1931833,8808
random,800,MsdRadixQuickSort,3358666,4281
random,800,MsdRadixSort,1895125,0
random,800,QuickSort,4929500,66454
random,800,StringMergeSort,2023041,6044
random,800,TernaryQuickSort,5461625,14070
random,900,MergeSort,2084500,10209
random,900,MsdRadixQuickSort,3742250,5048
random,900,MsdRadixSort,2055250,0
random,900,QuickSort,5799167,74328
random,900,StringMergeSort,2544333,6991
random,900,TernaryQuickSort,5673666,13470
random,1000,MergeSort,2293833,11593
random,1000,MsdRadixQuickSort,4680833,5872
random,1000,MsdRadixSort,2315250,0
random,1000,QuickSort,7705209,83943
random,1000,StringMergeSort,2951750,7867
random,1000,TernaryQuickSort,6657333,16916
random,1100,MergeSort,2904875,13080
random,1100,MsdRadixQuickSort,4862959,6556
random,1100,MsdRadixSort,2534625,0
random,1100,QuickSort,7202333,89660
random,1100,StringMergeSort,2937917,8859
random,1100,TernaryQuickSort,7569041,18813
random,1200,MergeSort,2841625,14620
random,1200,MsdRadixQuickSort,5908875,7717
random,1200,MsdRadixSort,2804583,0
random,1200,QuickSort,7707000,103618
random,1200,StringMergeSort,3213000,9768
random,1200,TernaryQuickSort,7717167,18955
random,1300,MergeSort,3049250,16086
random,1300,MsdRadixQuickSort,5994209,8390
random,1300,MsdRadixSort,3140000,0
random,1300,QuickSort,8429500,111877
random,1300,StringMergeSort,3516875,10696
random,1300,TernaryQuickSort,9165541,22387
random,1400,MergeSort,3336958,17598
random,1400,MsdRadixQuickSort,7214708,9341
random,1400,MsdRadixSort,3329375,0
random,1400,QuickSort,9456875,121064
random,1400,StringMergeSort,3851875,11674
random,1400,TernaryQuickSort,9045208,22506
random,1500,MergeSort,3521583,19215
random,1500,MsdRadixQuickSort,6898709,10223
random,1500,MsdRadixSort,3508666,0
random,1500,QuickSort,9969000,129293
random,1500,StringMergeSort,3952458,12666
random,1500,TernaryQuickSort,9914000,26130
random,1600,MergeSort,3981333,20773
random,1600,MsdRadixQuickSort,7245834,11028
random,1600,MsdRadixSort,3783709,0
random,1600,QuickSort,11307333,140453
random,1600,StringMergeSort,4252750,13604
random,1600,TernaryQuickSort,10689208,26584
random,1700,MergeSort,4040625,22337
random,1700,MsdRadixQuickSort,8193334,12138
random,1700,MsdRadixSort,4062792,0
random,1700,QuickSort,11462917,147538
random,1700,StringMergeSort,4507167,14538
random,1700,TernaryQuickSort,12064083,30668
random,1800,MergeSort,4372667,23969
random,1800,MsdRadixQuickSort,8504542,13179
random,1800,MsdRadixSort,4797875,0
random,1800,QuickSort,12575084,156542
random,1800,StringMergeSort,5013334,15573
random,1800,TernaryQuickSort,11854083,30282
random,1900,MergeSort,4557959,25569
random,1900,MsdRadixQuickSort,8889500,14076
random,1900,MsdRadixSort,4619375,0
random,1900,QuickSort,12812416,163043
random,1900,StringMergeSort,5162417,16529
random,1900,TernaryQuickSort,13065916,36206
random,2000,MergeSort,4849167,27201
random,2000,MsdRadixQuickSort,9875875,15511
random,2000,MsdRadixSort,4949584,0
random,2000,QuickSort,13308792,172252
random,2000,StringMergeSort,5399083,17503
random,2000,TernaryQuickSort,14116583,39311
random,2100,MergeSort,5057541,28862
random,2100,MsdRadixQuickSort,10153708,16613
random,2100,MsdRadixSort,5292291,0
random,2100,QuickSort,14035125,181707
random,2100,StringMergeSort,5662208,18585
random,2100,TernaryQuickSort,14516875,39658
random,2200,MergeSort,5304417,30558
random,2200,MsdRadixQuickSort,10910500,17403
random,2200,MsdRadixSort,5334250,0
random,2200,QuickSort,14737250,192269
random,2200,StringMergeSort,5968125,19547
random,2200,TernaryQuickSort,14807583,38768
random,2300,MergeSort,5645000,32287
random,2300,MsdRadixQuickSort,11387875,18188
random,2300,MsdRadixSort,5692750,0
random,2300,QuickSort,15374083,198759
random,2300,StringMergeSort,6301375,20639
random,2300,TernaryQuickSort,15385041,40915
random,2400,MergeSort,5855042,34035
random,2400,MsdRadixQuickSort,11924084,19253
random,2400,MsdRadixSort,5875916,0
random,2400,QuickSort,16784125,213067
random,2400,StringMergeSort,6606500,21672
random,2400,TernaryQuickSort,16861625,45212
random,2500,MergeSort,6165417,35666
random,2500,MsdRadixQuickSort,12782250,20249
random,2500,MsdRadixSort,6201250,0
random,2500,QuickSort,16495166,216737
random,2500,StringMergeSort,6873125,22649
random,2500,TernaryQuickSort,17347334,46788
random,2600,MergeSort,6444250,37474
random,2600,MsdRadixQuickSort,13214500,21593
random,2600,MsdRadixSort,6532208,0
random,2600,QuickSort,19190334,233614
random,2600,StringMergeSort,7166084,23756
random,2600,TernaryQuickSort,18634083,47874
random,2700,MergeSort,6841041,39280
random,2700,MsdRadixQuickSort,14475208,22275
random,2700,MsdRadixSort,7327375,0
random,2700,QuickSort,19222000,238396
random,2700,StringMergeSort,7731792,24840
random,2700,TernaryQuickSort,19551417,51647
random,2800,MergeSort,7287333,40983
random,2800,MsdRadixQuickSort,14733750,23408
random,2800,MsdRadixSort,7489375,0
random,2800,QuickSort,19703292,244109
random,2800,StringMergeSort,8107000,25836
random,2800,TernaryQuickSort,20524500,51949
random,2900,MergeSort,7600125,42849
random,2900,MsdRadixQuickSort,15405708,24545
random,2900,MsdRadixSort,7862209,0
random,2900,QuickSort,20676292,255165
random,2900,StringMergeSort,10324084,26952
random,2900,TernaryQuickSort,24225958,63440
random,3000,MergeSort,8054875,44620
random,3000,MsdRadixQuickSort,16176333,26020
random,3000,MsdRadixSort,8145750,0
random,3000,QuickSort,21436167,263420
random,3000,StringMergeSort,8679333,27956
random,3000,TernaryQuickSort,22449792,59228
random,100,MergeSort,202167,604
random,100,MsdRadixQuickSort,2503083,181
random,100,MsdRadixSort,17372334,0
random,100,QuickSort,2224166,7066
random,100,StringMergeSort,219667,520
random,100,TernaryQuickSort,567334,1031
random,200,MergeSort,406041,1514
random,200,MsdRadixQuickSort,592958,529
random,200,MsdRadixSort,679500,0
random,200,QuickSort,1548584,14394
random,200,StringMergeSort,457667,1200
random,200,TernaryQuickSort,3430917,2299
random,300,MergeSort,731292,2535
random,300,MsdRadixQuickSort,1207750,1063
random,300,MsdRadixSort,823583,0
random,300,QuickSort,1666083,23051
random,300,StringMergeSort,709917,1913
random,300,TernaryQuickSort,1870250,3597
random,400,MergeSort,856708,3677
random,400,MsdRadixQuickSort,1489667,1671
random,400,MsdRadixSort,1048000,0
random,400,QuickSort,2388042,31833
random,400,StringMergeSort,1046250,2695
random,400,TernaryQuickSort,2594000,6099
random,500,MergeSort,1205959,4858
random,500,MsdRadixQuickSort,2148541,2230
random,500,MsdRadixSort,1245750,0
random,500,QuickSort,3078083,40062
random,500,StringMergeSort,1234041,3488
random,500,TernaryQuickSort,3246333,7590
random,600,MergeSort,1345875,6142
random,600,MsdRadixQuickSort,2259750,2754
random,600,MsdRadixSort,1456833,0
random,600,QuickSort,3933458,48575
random,600,StringMergeSort,1512041,4335
random,600,TernaryQuickSort,3832083,9263
random,700,MergeSort,1580708,7466
random,700,MsdRadixQuickSort,2775541,3460
random,700,MsdRadixSort,1623792,0
random,700,QuickSort,4897083,58748
random,700,StringMergeSort,1732208,5200
random,700,TernaryQuickSort,4458250,10622
random,800,MergeSort,1787125,8811
random,800,MsdRadixQuickSort,3208708,4285
random,800,MsdRadixSort,1861208,0
random,800,QuickSort,4800250,64748
random,800,StringMergeSort,2026959,6081
random,800,TernaryQuickSort,5028875,12480
random,900,MergeSort,2013709,10218
random,900,MsdRadixQuickSort,3864375,5120
random,900,MsdRadixSort,2042666,0
random,900,QuickSort,5539917,74441
random,900,StringMergeSort,2298917,6997
random,900,TernaryQuickSort,5818042,14858
random,1000,MergeSort,2376667,11617
random,1000,MsdRadixQuickSort,4257125,6012
random,1000,MsdRadixSort,2204792,0
random,1000,QuickSort,6060959,83939
random,1000,StringMergeSort,2643209,7870
random,1000,TernaryQuickSort,6558625,16556
random,1100,MergeSort,2526083,13065
random,1100,MsdRadixQuickSort,4856375,6981
random,1100,MsdRadixSort,2626125,0
random,1100,QuickSort,7295667,92402
random,1100,StringMergeSort,2912917,8814
random,1100,TernaryQuickSort,7379084,18536
random,1200,MergeSort,2861917,14541
random,1200,MsdRadixQuickSort,5475500,7551
random,1200,MsdRadixSort,2787625,0
random,1200,QuickSort,8585333,101907
random,1200,StringMergeSort,3270208,9717
random,1200,TernaryQuickSort,8896042,23418
random,1300,MergeSort,3147959,16102
random,1300,MsdRadixQuickSort,6021916,8511
random,1300,MsdRadixSort,2958625,0
random,1300,QuickSort,8602417,112050
random,1300,StringMergeSort,3523750,10710
random,1300,TernaryQuickSort,8811000,21241
random,1400,MergeSort,3384791,17684
random,1400,MsdRadixQuickSort,6629167,9538
random,1400,MsdRadixSort,3237708,0
random,1400,QuickSort,9378792,120507
random,1400,StringMergeSort,3813208,11718
random,1400,TernaryQuickSort,9410292,23824
random,1500,MergeSort,3673791,19206
random,1500,MsdRadixQuickSort,7168417,10400
random,1500,MsdRadixSort,3770666,0
random,1500,QuickSort,10140250,129475
random,1500,StringMergeSort,3964417,12612
random,1500,TernaryQuickSort,10027583,26223
random,1600,MergeSort,3797542,20794
random,1600,MsdRadixQuickSort,7579375,11104
random,1600,MsdRadixSort,3643875,0
random,1600,QuickSort,10286625,137522
random,1600,StringMergeSort,4251459,13608
random,1600,TernaryQuickSort,11042416,30243
random,1700,MergeSort,4039792,22405
random,1700,MsdRadixQuickSort,8182084,12378
random,1700,MsdRadixSort,4051625,0
random,1700,QuickSort,11732625,149209
random,1700,StringMergeSort,4555959,14589
random,1700,TernaryQuickSort,11887208,33321
random,1800,MergeSort,4277042,24032
random,1800,MsdRadixQuickSort,8672042,13305
random,1800,MsdRadixSort,4213292,0
random,1800,QuickSort,12146709,156168
random,1800,StringMergeSort,4840625,15570
random,1800,TernaryQuickSort,12187125,32571
random,1900,MergeSort,4531750,25591
random,1900,MsdRadixQuickSort,9127834,14042
random,1900,MsdRadixSort,4432834,0
random,1900,QuickSort,12777833,165168
random,1900,StringMergeSort,5113833,16532
random,1900,TernaryQuickSort,13594292,38516
random,2000,MergeSort,4785709,27282
random,2000,MsdRadixQuickSort,9643083,15036
random,2000,MsdRadixSort,4760000,0
random,2000,QuickSort,13186375,174285
random,2000,StringMergeSort,5364083,17551
random,2000,TernaryQuickSort,14146083,39048
random,2100,MergeSort,5093000,28919
random,2100,MsdRadixQuickSort,10186667,16837
random,2100,MsdRadixSort,5023667,0
random,2100,QuickSort,14148166,183875
random,2100,StringMergeSort,5680000,18515
random,2100,TernaryQuickSort,15371959,41239
random,2200,MergeSort,5838042,30606
random,2200,MsdRadixQuickSort,10689959,16605
random,2200,MsdRadixSort,5587333,0
random,2200,QuickSort,14778083,190823
random,2200,StringMergeSort,5997333,19579
random,2200,TernaryQuickSort,15264334,40614
random,2300,MergeSort,5619375,32314
random,2300,MsdRadixQuickSort,11528042,18436
random,2300,MsdRadixSort,5697750,0
random,2300,QuickSort,15155708,197113
random,2300,StringMergeSort,6275166,20580
random,2300,TernaryQuickSort,16256041,45025
random,2400,MergeSort,5881042,34047
random,2400,MsdRadixQuickSort,12125667,19487
random,2400,MsdRadixSort,5962583,0
random,2400,QuickSort,16044584,209647
random,2400,StringMergeSort,6552667,21631
random,2400,TernaryQuickSort,16344375,42939
random,2500,MergeSort,6199792,35842
random,2500,MsdRadixQuickSort,12478416,20229
random,2500,MsdRadixSort,6455541,0
random,2500,QuickSort,17331291,218374
random,2500,StringMergeSort,6957792,22751
random,2500,TernaryQuickSort,19193875,50893
random,2600,MergeSort,8684750,37577
random,2600,MsdRadixQuickSort,14515708,21383
random,2600,MsdRadixSort,46376250,0
random,2600,QuickSort,28788584,230409
random,2600,StringMergeSort,12770584,23731
random,2600,TernaryQuickSort,73396667,50657
random,2700,MergeSort,8170375,39307
random,2700,MsdRadixQuickSort,18350750,22860
random,2700,MsdRadixSort,16070625,0
random,2700,QuickSort,20165583,238945
random,2700,StringMergeSort,7826584,24734
random,2700,TernaryQuickSort,19712916,48926
random,2800,MergeSort,7555625,41096
random,2800,MsdRadixQuickSort,15192959,24107
random,2800,MsdRadixSort,7715375,0
random,2800,QuickSort,20995542,249188
random,2800,StringMergeSort,8257708,25818
random,2800,TernaryQuickSort,21236833,55006
random,2900,MergeSort,7672667,42834
random,2900,MsdRadixQuickSort,15853959,25240
random,2900,MsdRadixSort,7852292,0
random,2900,QuickSort,19925875,255824
random,2900,StringMergeSort,8217791,26776
random,2900,TernaryQuickSort,21334125,59494
random,3000,MergeSort,7557542,44596
random,3000,MsdRadixQuickSort,15721709,25979
random,3000,MsdRadixSort,8115833,0
random,3000,QuickSort,21652833,267428
random,3000,StringMergeSort,8497458,27798
random,3000,TernaryQuickSort,22496959,56027
random,100,MergeSort,184250,600
random,100,MsdRadixQuickSort,238167,182
random,100,MsdRadixSort,291834,0
random,100,QuickSort,509667,7217
random,100,StringMergeSort,207292,508
random,100,TernaryQuickSort,541125,1069
random,200,MergeSort,386000,1504
random,200,MsdRadixQuickSort,551583,516
random,200,MsdRadixSort,564458,0
random,200,QuickSort,1031417,14847
random,200,StringMergeSort,435500,1170
random,200,TernaryQuickSort,1231167,2616
random,300,MergeSort,621750,2528
random,300,MsdRadixQuickSort,929750,959
random,300,MsdRadixSort,821666,0
random,300,QuickSort,1809042,22042
random,300,StringMergeSort,775042,1899
random,300,TernaryQuickSort,1894625,4509
random,400,MergeSort,820708,3665
random,400,MsdRadixQuickSort,1376833,1571
random,400,MsdRadixSort,1026583,0
random,400,QuickSort,2524167,33731
random,400,StringMergeSort,942834,2656
random,400,TernaryQuickSort,2411084,5586
random,500,MergeSort,1067042,4841
random,500,MsdRadixQuickSort,1795167,2117
random,500,MsdRadixSort,1259375,0
random,500,QuickSort,3073917,39777
random,500,StringMergeSort,1206458,3460
random,500,TernaryQuickSort,3051375,7031
random,600,MergeSort,1294459,6119
random,600,MsdRadixQuickSort,2231709,2754
random,600,MsdRadixSort,1402583,0
random,600,QuickSort,3840125,50015
random,600,StringMergeSort,1608000,4302
random,600,TernaryQuickSort,3829667,8911
random,700,MergeSort,1532542,7424
random,700,MsdRadixQuickSort,2729375,3592
random,700,MsdRadixSort,1674666,0
random,700,QuickSort,4407958,58347
random,700,StringMergeSort,2045000,5132
random,700,TernaryQuickSort,4650250,11468
random,800,MergeSort,1816958,8806
random,800,MsdRadixQuickSort,3293875,4330
random,800,MsdRadixSort,2050083,0
random,800,QuickSort,5177750,67101
random,800,StringMergeSort,2052000,6019
random,800,TernaryQuickSort,5253167,13467
random,900,MergeSort,2033916,10202
random,900,MsdRadixQuickSort,3706250,5011
random,900,MsdRadixSort,2396334,0
random,900,QuickSort,5771958,75091
random,900,StringMergeSort,2307083,6950
random,900,TernaryQuickSort,5738083,14281
random,1000,MergeSort,2666292,11602
random,1000,MsdRadixQuickSort,4414041,5946
random,1000,MsdRadixSort,2412459,0
random,1000,QuickSort,6493709,83783
random,1000,StringMergeSort,2711334,7822
random,1000,TernaryQuickSort,6889166,15991
random,1100,MergeSort,2609167,13112
random,1100,MsdRadixQuickSort,5010041,6798
random,1100,MsdRadixSort,2936500,0
random,1100,QuickSort,7725834,94537
random,1100,StringMergeSort,2926917,8792
random,1100,TernaryQuickSort,7452375,18630
random,1200,MergeSort,2770500,14589
random,1200,MsdRadixQuickSort,5353333,7774
random,1200,MsdRadixSort,2767708,0
random,1200,QuickSort,7832584,102179
random,1200,StringMergeSort,3101166,9705
random,1200,TernaryQuickSort,7769667,19426
random,1300,MergeSort,3115584,16125
random,1300,MsdRadixQuickSort,5820666,8461
random,1300,MsdRadixSort,3001375,0
random,1300,QuickSort,8346542,109255
random,1300,StringMergeSort,3422542,10701
random,1300,TernaryQuickSort,9063916,23404
random,1400,MergeSort,3384167,17618
random,1400,MsdRadixQuickSort,6263958,9425
random,1400,MsdRadixSort,3273708,0
random,1400,QuickSort,8990083,117127
random,1400,StringMergeSort,3710000,11569
random,1400,TernaryQuickSort,9392208,24384
random,1500,MergeSort,3569083,19206
random,1500,MsdRadixQuickSort,7061250,10422
random,1500,MsdRadixSort,3647542,0
random,1500,QuickSort,9833166,127374
random,1500,StringMergeSort,3954125,12575
random,1500,TernaryQuickSort,9971500,24044
random,1600,MergeSort,3792375,20836
random,1600,MsdRadixQuickSort,7537500,11105
random,1600,MsdRadixSort,3888417,0
random,1600,QuickSort,10122834,138383
random,1600,StringMergeSort,4366750,13581
random,1600,TernaryQuickSort,10983958,29969
random,1700,MergeSort,4080416,22404
random,1700,MsdRadixQuickSort,8015958,12379
random,1700,MsdRadixSort,4129292,0
random,1700,QuickSort,11178334,147535
random,1700,StringMergeSort,4547792,14561
random,1700,TernaryQuickSort,11393125,29022
random,1800,MergeSort,4305333,24033
random,1800,MsdRadixQuickSort,8721750,13018
random,1800,MsdRadixSort,4305458,0
random,1800,QuickSort,12026667,155112
random,1800,StringMergeSort,4801125,15588
random,1800,TernaryQuickSort,12463708,32032
random,1900,MergeSort,4542458,25623
random,1900,MsdRadixQuickSort,9389833,14086
random,1900,MsdRadixSort,4616166,0
random,1900,QuickSort,12906750,164400
